segment_id,label,n_samples,duration_sec,gx_mean,gy_mean,gz_mean,B_mean,gx_std,gy_std,gz_std,B_std,dgx_mean,dgy_mean,dgz_mean,dB_mean,dgx_max_abs,dgy_max_abs,dgz_max_abs,dB_max_abs,gx_range,gy_range,gz_range,B_range,dB_dt_max,dB_dt_min,dB_dt_max_abs,dgx_dt_max_abs,dgy_dt_max_abs,dgz_dt_max_abs,rise_time_B,rise_time_dB,hold_B_mean,hold_B_std,hold_dB_mean,hold_dB_std,B_peak_idx_ratio,dB_peak_idx_ratio,B_zero_cross_rate,B_energy,dB_energy,gx_last,gy_last,gz_last,B_last,dB_last
21,no_contact,68,1.6896140575408936,8.737867000000003,-1.0674039852941177,2.2603372500000005,9.093080411764706,3.552713678800501e-15,0.2923293406180118,0.029410576480626737,0.031736038348167094,1.7763568394002505e-15,0.004883168552036153,0.00039871153846153285,0.0025323348416299313,1.7763568394002505e-15,0.7733541538461538,0.07673853846153866,0.11178792307692476,0.0,1.546134,0.1312000000000002,0.159987000000001,171.92288015648032,-37.00169558505138,171.92288015648032,0.0,1520.478783843521,113.87916660363702,0.30234503746032715,0.30234503746032715,9.09479425925926,0.030112420948459735,0.004246182336183285,0.030112420948459735,0.31343283582089554,0.31343283582089554,0.34328358208955223,82.68511855094904,0.0010135888497864653,8.737867,-1.2544,2.3144,9.125803,0.03525492307692346
22,no_contact,63,1.5879530906677246,8.737867000000005,-0.009189492063492065,3.998040222222222,9.609284111111114,5.329070518200751e-15,0.003210491135216245,0.06595524185347679,0.027324343590257517,1.7763568394002505e-15,0.0016105912698412695,-0.015893111111110917,-0.006560722222222885,1.7763568394002505e-15,0.009200083333333333,0.18860033333333304,0.07730783333333413,0.0,0.013333,0.25226700000000024,0.10393099999999933,128.8122574153532,-89.98114460815337,128.8122574153532,0.0,2.464519427102461,310.4680540925266,0.0,0.0,9.621212961538461,0.01908712655063757,0.005368128205127631,0.01908712655063757,0.0,0.9193548387096774,0.3387096774193548,92.3390877478051,0.0007896628287156161,8.737867,-0.004,3.9048,9.570673,-0.04517183333333463
23,no_contact,61,1.5280659198760986,8.737867000000003,-0.008135524590163935,3.991855655737705,9.606665704918031,3.552713678800501e-15,0.003197746873826547,0.05721948294266337,0.023592218345681374,1.7763568394002505e-15,-0.0004466912568306012,0.0008335724043712788,0.0004014549180357818,1.7763568394002505e-15,0.008221833333333333,0.20862208333333365,0.08486824999999776,0.0,0.016,0.2722660000000001,0.11139600000000094,11.77199659250557,-90.39456684650897,90.39456684650897,0.0,32.60378962998215,217.8428832744194,0.07766199111938477,0.07766199111938477,9.597048749999999,0.028009482085313592,-0.009215499999997009,0.028009482085313592,0.16666666666666666,0.4,0.21666666666666667,92.28858255881472,0.00055675393252152,8.737867,-0.006933,4.032533,9.623497,0.01723275000000335
24,no_contact,74,1.863346815109253,8.737867,-0.007099135135135137,3.9570990405405397,9.59236177027027,0.0,0.0031784243432969772,0.0726082119427643,0.029671240676082816,1.7763568394002505e-15,0.00013900772200772267,-0.018862888030887967,-0.007821801158301214,1.7763568394002505e-15,0.007771142857142858,0.2911619285714284,0.11714257142857143,0.0,0.014933,0.3437330000000003,0.13877899999999954,95.4851247573645,-3.93810939241696,95.4851247573645,0.0,6.010333248868779,232.16766815147326,0.27608394622802734,0.27608394622802734,9.595842137931033,0.02061300301654955,-0.00434143349753699,0.02061300301654955,0.1506849315068493,0.7123287671232876,0.3835616438356164,92.01428471426584,0.0009415630966180337,8.737867,-0.0048,4.0048,9.611907,0.01172342857142894
25,no_contact,62,1.5584900379180908,8.737867000000003,-0.007466645161290324,3.917152725806451,9.575940387096775,3.552713678800501e-15,0.0029825682432598915,0.0706588116170552,0.02877646572952306,1.7763568394002505e-15,0.00022227150537634346,0.028730559139785096,0.01167455376344062,1.7763568394002505e-15,0.007155916666666666,0.13802216666666656,0.05553783333333406,0.0,0.013866999999999999,0.25706700000000016,0.10429200000000094,89.88223949934428,-160.61876774110712,160.61876774110712,0.0,13.1242889178618,389.7173532168275,0.18003082275390625,0.18003082275390625,9.58429444,0.02874592892787438,0.02002860666666642,0.02874592892787438,0.47540983606557374,0.0,0.32786885245901637,91.69946238221102,0.0009643801854578804,8.737867,-0.010133,3.8112,9.532873,-0.031392833333333314
26,no_contact,49,1.203362226486206,8.737867,-0.006612244897959184,3.6046693877551017,9.452414142857142,0.0,0.0032455743841240388,0.06924477795703465,0.026001770424809206,0.0,0.00055819954648526,-0.035360278911564465,-0.013381301587302788,0.0,0.006696555555555557,0.30509666666666657,0.1131434444444448,0.0,0.013334,0.33946699999999996,0.12636000000000003,21.62564453127656,-92.94553917056373,92.94553917056373,0.0,7.603478153202613,243.80096987402757,0.07174491882324219,0.07174491882324219,9.4426291,0.03388503176610555,-0.023166344444445652,0.03388503176610554,0.10416666666666667,0.5208333333333334,0.4166666666666667,89.34880922015097,0.0008551512973948348,8.737867,-0.010133,3.5624,9.43616,-0.029635444444446435
27,no_contact,65,1.6309089660644531,8.737867,-0.006867738461538461,3.5377682153846153,9.426998046153848,0.0,0.0034482048273844802,0.04954209772071617,0.018542023619900285,1.7763568394002505e-15,0.0018706461538461551,0.005993907692308216,0.0022635076923086,1.7763568394002505e-15,0.010605384615384617,0.11310730769230704,0.04189653846153796,0.0,0.018934,0.1869329999999998,0.06971300000000014,14.60304637687939,-26.024817459201813,26.024817459201813,0.0,26.8435456,69.79321855999828,0.0,0.0,9.427212923076922,0.021554133802917666,0.0024783846153855374,0.021554133802917666,0.34375,0.453125,0.359375,88.86863596882837,0.0003489301069940803,8.737867,-0.004,3.518933,9.419832,-0.004902538461537986
28,no_contact,80,2.0162038803100586,8.737866999999998,-0.005469937499999999,3.5174567124999996,9.41938875,1.7763568394002505e-15,0.0035767256022224783,0.048368992959124585,0.017839422555466854,0.0,-0.00015324999999999977,-0.0016600375000002776,-0.0006653749999999458,0.0,0.0106833125,0.18364975000000028,0.06720712499999948,0.0,0.017333,0.221333,0.08119499999999924,3.476375261246178,-166.66332101150246,166.66332101150246,0.0,9.088416034669557,460.9877568735651,0.0,0.0,9.41800821875,0.01788740450487157,-0.0020459062499999514,0.01788740450487157,0.05063291139240506,0.21518987341772153,0.22784810126582278,88.72520266862368,0.0003186877210031245,8.737867,-0.005333,3.540533,9.427923,0.007868874999999775
29,touch,90,2.2479710578918457,8.534154388888888,-0.0062281555555555555,3.3127436777777786,9.157597855555554,1.0060540766828117,0.00398879398624338,0.4159409275249933,1.0628594324585978,-0.2037126111111111,-0.0009837111111111118,-0.11122665555555579,-0.22728558888888856,6.911467,0.014222555555555558,2.0429033333333333,7.095023444444444,6.911467,0.022934000000000003,2.0986659999999997,7.1154,106.24840571894865,-228.54326903643977,228.54326903643977,237.97423377267793,14.29064395229983,50.41328268141757,0.7618601322174072,0.7618601322174072,8.799983714285714,1.6416442556918975,-0.58489973015873,1.6416442556918975,0.6404494382022472,0.5393258426966292,0.3146067415730337,84.99126865724193,1.1813289120827815,8.737867,-0.0064,3.404533,9.377697,-0.007186444444444717
30,touch,95,2.382349729537964,8.426462063157896,-0.006680715789473683,3.269207063157895,9.039261242105262,1.0459327607945765,0.0036287196369291057,0.3809965771837634,1.106311153660942,-0.31140493684210524,-0.0002666631578947362,-0.14835088421052625,-0.34333591578947464,4.3274669999999995,0.01038594736842105,1.546890947368421,4.591863157894738,4.3274669999999995,0.0184,1.5986659999999997,4.610688000000001,1027.225379446156,-83.64842542251021,1027.225379446156,982.2549123282042,11.110739072847682,314.0350687179488,1.747255802154541,1.747255802154541,8.531087,1.6213226758398607,-0.8515101578947379,1.6213226758398607,0.7978723404255319,0.6702127659574468,0.22340425531914893,82.93216817174098,1.3418039197856018,8.737867,-0.012,3.453333,9.39553,0.01293284210526302
