timestamp,gx,gy,gz,B,raw,label
1774146144.605505,8.737867,-0.145333,2.141067,8.997533,"8.737867,-0.145333,2.141067,8.997533",touch
1774146144.6138098,8.737867,-0.286133,2.415467,9.070097,"8.737867,-0.286133,2.415467,9.070097",touch
1774146144.6421351,8.737867,-0.188533,2.553867,9.105388,"8.737867,-0.188533,2.553867,9.105388",touch
1774146144.6667972,8.737867,-0.108533,2.645067,9.130086,"8.737867,-0.108533,2.645067,9.130086",touch
1774146144.691521,8.737867,-0.058933,2.754667,9.161986,"8.737867,-0.058933,2.754667,9.161986",touch
1774146144.716233,8.737867,-0.047467,2.8704,9.197379,"8.737867,-0.047467,2.870400,9.197379",touch
1774146144.740941,8.737867,-0.008,2.996533,9.237401,"8.737867,-0.008000,2.996533,9.237401",touch
1774146144.769118,8.737867,-0.013333,2.987467,9.234471,"8.737867,-0.013333,2.987467,9.234471",touch
1774146144.7939148,8.737867,-0.0184,3.0712,9.261907,"8.737867,-0.018400,3.071200,9.261907",touch
1774146144.818627,8.737867,-0.014933,3.212,9.309537,"8.737867,-0.014933,3.212000,9.309537",touch
1774146144.843149,8.737867,-0.0144,3.3112,9.344226,"8.737867,-0.014400,3.311200,9.344226",touch
1774146144.867954,8.737867,-0.009333,3.176533,9.297352,"8.737867,-0.009333,3.176533,9.297352",touch
1774146144.896109,8.737867,-0.016,2.9672,9.227939,"8.737867,-0.016000,2.967200,9.227939",touch
1774146144.956106,8.737867,-0.016,2.722133,9.152081,"8.737867,-0.016000,2.722133,9.152081",touch
1774146144.956531,8.737867,-0.058133,2.177867,9.005376,"8.737867,-0.058133,2.177867,9.005376",touch
1774146144.978616,8.737867,-0.014933,2.254133,9.023949,"8.737867,-0.014933,2.254133,9.023949",touch
1774146144.994781,8.737867,-0.008533,2.326667,9.042332,"8.737867,-0.008533,2.326667,9.042332",touch
1774146145.023042,8.737867,-0.1256,2.2312,9.01911,"8.737867,-0.125600,2.231200,9.019110",touch
1774146145.047724,8.737867,-0.182133,2.281067,9.032539,"8.737867,-0.182133,2.281067,9.032539",touch
1774146145.0723798,8.737867,-0.368,2.226933,9.024686,"8.737867,-0.368000,2.226933,9.024686",touch
1774146145.0971782,8.737867,-0.551467,2.202667,9.028077,"8.737867,-0.551467,2.202667,9.028077",touch
